ID,Codigo,Materia,Año,Semestre,Creditos,Estado,Nota,FechaRegularidad,FechaVencimiento,Profesor,Aula
"cs-info1","000450","Informática 1",1,1,6,"aprobada",7,"","","",""
"cs-teccomp","000451","Tecnología de Computadoras",1,1,6,"regular",,"2025-06-17","2027-02-19","",""
"cs-algegeo","000453","Álgebra y Geometría",1,1,6,"regular",,"2025-06-18","2027-02-19","",""
"cs-am1a","000452","Análisis Matemático 1A",1,1,6,"aprobada",8,"","","",""
"cs-fis1","000454","Física 1",1,1,6,"regular",,"2025-06-19","2027-02-19","",""
"cs-info2","000455","Informática 2",1,2,6,"aprobada",10,"","","",""
"cs-algelin","000654","Álgebra Lineal",1,2,6,"regular",,"2025-11-20","2027-07-20","",""
"cs-quimica","000459","Química",1,2,6,"pendiente",,"","","",""
"cs-am1b","000457","Análisis Matemático 1B",1,2,6,"regular",,"2025-11-20","2027-07-20","",""
"cs-fis2","000456","Física 2",1,2,6,"cursando",,"","","A confirmar","A confirmar"
"cs-ingweb1","000465","Ing. Web 1",2,1,6,"aprobada",8,"","","",""
"cs-ingsoft1","000461","Ingeniería de Software 1",2,1,6,"aprobada",6,"","","",""
"cs-bd1","000463","Base de Datos 1",2,1,6,"cursando",,"","","Boggio, A. / Perez, S.","Aula 28"
"cs-am2a","000462","Análisis Matemático 2A",2,1,6,"pendiente",,"","","",""
"cs-estdisc","000464","Estructuras Discretas",2,1,6,"pendiente",,"","","",""
"cs-info3","000460","Informática 3",2,2,6,"regular",,"2025-11-20","2027-07-20","",""
"cs-arqcomp1","000468","Arquitectura de Comp. 1",2,1,6,"regular",,"2025-11-20","2027-07-20","",""
"cs-am2b","000466","Análisis Matemático 2B",2,2,6,"pendiente",,"","","",""
"cs-metnum","000467","Métodos Numéricos",3,1,6,"cursando",,"","","A confirmar","A confirmar"
"cs-probest","000256","Probabilidad y Estadística",3,1,6,"cursando",,"","","Luczywo, Nadia","Aula 28"
"cs-arqcomp2","000473","Arquitectura de Comp. 2",2,2,6,"regular",,"2026-06-22","2028-02-19","",""
"cs-fis3","000924","Física 3",3,2,6,"pendiente",,"","","",""
"cs-pds1","000470","Proceso de Desarrollo 1",3,1,6,"pendiente",,"","","",""
"cs-sisop","000477","Sistemas Operativos",2,2,6,"pendiente",,"","","",""
"cs-teocomp","000475","Teoría de la Computación",2,2,6,"pendiente",,"","","",""
"cs-audit","000478","Auditoría",5,1,6,"cursando",,"","","Tapia, C. / Casanovas, J.I.","Aula 14"
"cs-derecho","000479","Derecho y Ética Profesional",3,2,6,"aprobada",4,"","","",""
"cs-orgemp","000474","Organización de Empresas",3,1,6,"regular",,"2025-11-20","2027-07-20","",""
"cs-pds2","000476","Proceso de Desarrollo 2",3,2,6,"pendiente",,"","","",""
"cs-redes1","000471","Redes 1",3,1,6,"cursando",,"","","Giovanardi, E. / Ávila Mattar, C.","Lab Redes"
"cs-dhs","000480","Desarrollo Herramientas SW",3,2,7,"pendiente",,"","","",""
"cs-ingles","000621","Nivel Idioma Inglés",3,2,2,"aprobada",,"","","",""
"cs-ingweb2","000800","Ingeniería Web 2",3,2,6,"aprobada",8,"","","",""
"cs-bd2","000485","Base de Datos 2",3,1,6,"pendiente",,"","","",""
"cs-ingsoft2","000481","Ingeniería de Software 2",4,1,6,"pendiente",,"","","",""
"cs-redes2","000482","Redes 2",4,1,6,"pendiente",,"","","",""
"cs-economia","000491","Economía",4,2,6,"regular",,"2026-06-19","2028-02-19","",""
"cs-progfunc","000813","Prog. Funcional y Scripting",4,1,6,"cursando",,"","","Montes, M. / García Mattio, M.","Aula 14"
"cs-tecmov","000801","Tecnologías Móviles",4,1,6,"aprobada",8,"","","",""
"cs-linux","001835","Fundamentos de Linux",4,1,2,"aprobada",,"","","",""
"cs-gestemp1","000490","Gestión de Empresas 1",4,1,6,"regular",,"2026-06-19","2028-02-19","",""
"cs-gestproy","000761","Gestión de Proyectos Inf.",4,1,6,"pendiente",,"","","",""
"cs-modsim","000489","Modelos y Simulación",4,2,6,"pendiente",,"","","",""
"cs-redes3","000486","Redes 3",4,2,6,"pendiente",,"","","",""
"cs-ingweb3","000806","Ingeniería Web 3",4,1,6,"cursando",,"","","García Mattio, M. / Silvestre, A.","Aula 26"
"cs-compgraf","000494","Computación Gráfica y VA",5,1,6,"pendiente",,"","","",""
"cs-gestemp2","000496","Gestión de Empresas 2",4,2,6,"cursando",,"","","Vanden, Guillermo","Aula Híbrida 33"
"cs-sisrt","000495","Sistemas en Tiempo Real",4,2,6,"pendiente",,"","","",""
"cs-planneg","000499","Plan de Negocios",5,1,6,"pendiente",,"","","",""
"cs-seginf","000500","Seguridad Informática",5,1,6,"pendiente",,"","","",""
"cs-tfg","000501","Trabajo Final de Grado",5,2,12,"pendiente",,"","","",""
"cs-pps","000616","Práctica Profesional Sup.",5,2,6,"pendiente",,"","","",""
"cs-ia","000762","Inteligencia Artificial",5,1,6,"pendiente",,"","","",""
